Column1,Column2,Column3,Column4
0.2,0.02,118.8648,0.946730733
0.3,0.02,56.7344,0.758873631
0.28,0.04,70.568,0.896135853
0.06,0.04,97.584,0.806881859
0.22,0.04,80.3376,0.775318554
0.2,0.06,145.6024,0.914012701
0.28,0.06,92.5048,0.84724438
0.06,0.06,140.1928,0.770069149
0.3,0.06,72.792,0.76993761
0.24,0.06,133.22,0.768560278
0.22,0.06,112.96,0.755429598
0.22,0.08,199.3376,0.866306894
0.06,0.08,289.7216,0.826810993
0.1,0.08,287.5104,0.81918827
0.3,0.08,94.0032,0.80950123
0.28,0.08,95.4656,0.784905381
0.34,0.08,106.8768,0.74520367
0.26,0.08,105.9872,0.730079034
0.32,0.08,56.9344,0.70838756
0.2,0.08,84.9312,0.701477196
0.2,0.1,182.58,0.902091639
0.1,0.1,328.008,0.834545079
0.3,0.1,129.036,0.821923398
0.34,0.1,129.068,0.789583552
0.08,0.1,251.828,0.780835311
0.28,0.1,113.128,0.770333397
0.36,0.1,88.172,0.765803132
0.06,0.1,237.728,0.761383427
0.2,0.12,262.7632,0.911208066
0.1,0.12,412.5824,0.877791124
0.36,0.12,145.8064,0.857924213
0.12,0.12,301.248,0.792832488
0.26,0.12,190.0368,0.787151351
0.3,0.12,152.2144,0.782468144
0.22,0.12,188.6016,0.751062101
0.08,0.12,182.6064,0.744341427
0.14,0.12,155.9088,0.742922831
0.38,0.12,87.04,0.742475775
0.34,0.12,112.7696,0.734111586
0.06,0.12,181.3184,0.703150123
0.12,0.14,400.1992,0.897473709
0.2,0.14,225.228,0.895088765
0.1,0.14,277.7888,0.851579654
0.14,0.14,210.7448,0.826692848
0.38,0.14,107.88,0.824011554
0.28,0.14,187.5816,0.796729964
0.22,0.14,272.0208,0.796691857
0.16,0.14,165.5024,0.792201715
0.36,0.14,120.9848,0.783564518
0.24,0.14,229.5568,0.779748839
0.18,0.14,135.976,0.728326505
0.3,0.14,179.6984,0.72348791
0.26,0.14,135.3944,0.712962904
0.2,0.16,251.4752,0.920992052
0.14,0.16,260.3008,0.880657275
0.16,0.16,194.3232,0.866525342
0.12,0.16,257.3888,0.861767177
0.18,0.16,187.6736,0.847442831
0.26,0.16,210.6432,0.821442041
0.3,0.16,225.952,0.807260244
0.22,0.16,240.1856,0.783201027
0.24,0.16,285.2224,0.777564832
0.36,0.16,139.8976,0.770382617
0.1,0.16,212.1472,0.768352473
0.28,0.16,153.664,0.708904282
0.2,0.18,267.1728,0.940225169
0.16,0.18,275.0336,0.904634285
0.22,0.18,235.8216,0.872449967
0.18,0.18,196.7368,0.859549589
0.14,0.18,195.7832,0.856735326
0.24,0.18,312.6368,0.851043684
0.12,0.18,215.7816,0.825305772
0.26,0.18,274.9456,0.819248255
0.28,0.18,215.0528,0.794566847
0.3,0.18,233.6856,0.775175559
0.2,0.2,276.96,0.920989294
