k1,k2,Rev,Linearity
0.2,0.76,506.8096,0.887783975
0.2,0.78,486.944,0.900144463
0.2,0.74,476.6304,0.886149872
0.2,0.7,474.344,0.858309827
0.2,0.72,470.96,0.87517679
0.2,0.62,461.1832,0.892720379
0.2,0.54,443.0656,0.867929184
0.2,0.66,442.664,0.848413941
0.2,0.68,442.5056,0.855116555
0.2,0.52,426.9056,0.858440388
0.2,0.64,426.2784,0.869468315
0.2,0.6,425.016,0.890970572
0.2,0.42,420.8936,0.887176441
0.2,0.56,420.4384,0.877567122
0.2,0.58,413.1856,0.882205338
0.2,0.44,406.6208,0.837341542
0.2,0.48,393.1584,0.837194673
0.2,0.5,386.64,0.854387936
0.2,0.46,378.88,0.823861382
0.3,0.72,377.6704,0.805030896
0.14,0.78,376.6064,0.716365746
0.2,0.36,370.5984,0.859745997
0.3,0.68,364.1104,0.800626887
0.3,0.74,359.0032,0.717125773
0.3,0.7,356.624,0.800597216
0.2,0.4,353.232,0.895425314
0.2,0.3,350.344,0.825169919
0.2,0.38,346.2424,0.878207266
0.3,0.66,342.2248,0.796082694
0.18,0.78,339.7968,0.784635418
0.28,0.7,339.736,0.714422379
0.18,0.28,334.9344,0.905587964
0.18,0.42,326.38,0.851095851
0.2,0.28,322.1776,0.861419976
0.22,0.78,321.3976,0.744873086
0.3,0.64,320.3392,0.790669093
0.2,0.34,320.0096,0.853753885
0.28,0.68,316.8864,0.703356935
0.02,0.6,316.448,0.719202304
0.2,0.32,315.3216,0.773430249
0.18,0.76,309.5456,0.772023098
0.18,0.3,307.656,0.829112106
0.16,0.4,303.44,0.751243216
0.3,0.62,298.4536,0.784331243
0.22,0.76,297.2592,0.736286154
0.18,0.26,294.6392,0.917444364
0.18,0.46,291.4872,0.860906767
0.22,0.72,284.2048,0.708831183
0.12,0.12,279.9984,0.822235629
0.18,0.74,279.2944,0.75970259
0.12,0.14,278.1872,0.71736466
0.1,0.1,277.064,0.763565199
0.3,0.6,276.568,0.776241708
0.2,0.26,273.7296,0.847870351
0.22,0.74,273.1208,0.726494903
0.3,0.52,271.4992,0.808400632
0.18,0.24,271.4624,0.916166015
0.18,0.44,270.8256,0.835502015
0.22,0.64,270.6432,0.791607502
